project,md_count,json_count,total,newest_time,newest_file,sample_docs
kibana-9.2.4,2004,6868,8872,2026-02-13 23:00:47,/home/denny/projects/kibana-9.2.4/docs/plans/2026-02-13-aliyun-auth-abstraction-refactor.md,IMPLEMENT-SUMMARY.md | plan_and_progress.md | README.md | validate_plan.md | github_checks_reporter.json | legacy_rfcs/README.md | legacy_rfcs/text/0011_reporting_as_an_api.md | .buildkite/README.md
kibana,2119,5941,8060,2026-01-28 16:23:49,/home/denny/projects/kibana/.vscode/settings.json,ALIYUN_AUTH_VERIFICATION_REPORT.md | README.md | github_checks_reporter.json | FINAL_STATUS_REPORT.md | legacy_rfcs/README.md | legacy_rfcs/text/0011_reporting_as_an_api.md | .buildkite/README.md | .buildkite/pipeline-resource-definitions/README.md
kibana-iam,2101,5942,8043,2026-01-26 07:54:43,/home/denny/projects/kibana-iam/.cloud-iam-kibana-e2e/es-logs/cloud-iam-kibana-e2e_server.json,README.md | github_checks_reporter.json | legacy_rfcs/README.md | legacy_rfcs/text/0011_reporting_as_an_api.md | .buildkite/README.md | .buildkite/pipeline-resource-definitions/README.md | config/README.md | packages/kbn-lint-ts-projects-cli/README.md
es-lance-claude-glm,2352,1365,3717,2026-01-26 10:53:52,/home/denny/projects/es-lance-claude-glm/.claude/settings.local.json,README.md | .ci/README.md | .buildkite/README.md | .buildkite/scripts/pull-request/README.md | qa/packaging/README.md | libs/logstash-bridge/README.md | libs/entitlement/README.md | libs/entitlement/agent/README.md
elasticsearch,2341,1373,3714,2026-01-23 21:47:38,/home/denny/projects/elasticsearch/.claude/settings.local.json,.ci/README.md | .buildkite/README.md | .buildkite/scripts/pull-request/README.md | qa/packaging/README.md | libs/logstash-bridge/README.md | libs/entitlement/README.md | libs/entitlement/agent/README.md | libs/entitlement/bridge/README.md
es-lance-claude,2347,1365,3712,2026-01-21 13:44:10,/home/denny/projects/es-lance-claude/docs/HANDOFF.md,.ci/README.md | .buildkite/README.md | .buildkite/scripts/pull-request/README.md | qa/packaging/README.md | libs/logstash-bridge/README.md | libs/entitlement/README.md | libs/entitlement/agent/README.md | libs/entitlement/bridge/README.md
es-9.2.4-plugins-rt-scale,2217,1334,3551,2026-02-10 14:18:01,/home/denny/projects/es-9.2.4-plugins-rt-scale/progress.md,P1-P2-IMPLEMENTATION-PLAN.md | DEBUG_TIMING_SUMMARY.md | task_plan.md | VALIDATION_FINAL_SUMMARY.md | future_plan.md | COMPLETE_VALIDATION_REPORT.md | future_plan_refined_zh.md | OSS_STRESS_TEST_REPORT.md
es-9.2.4-plugins-real-time,2204,1334,3538,2026-02-07 11:44:43,/home/denny/projects/es-9.2.4-plugins-real-time/plugins/lance-vector/USER_GUIDE_CN.md,P1-P2-IMPLEMENTATION-PLAN.md | DEBUG_TIMING_SUMMARY.md | task_plan.md | VALIDATION_FINAL_SUMMARY.md | future_plan.md | COMPLETE_VALIDATION_REPORT.md | future_plan_refined_zh.md | OSS_STRESS_TEST_REPORT.md
es-9.2.4-plugins,2201,1335,3536,2026-02-06 11:16:14,/home/denny/projects/es-9.2.4-plugins/future_plan_refined_zh.md,DEBUG_TIMING_SUMMARY.md | PHASE_5_OSS_INTEGRATION_REPORT.md | VALIDATION_FINAL_SUMMARY.md | future_plan.md | PHASE_8_ENHANCED_REPORT.md | PHASE_8_FINAL_SUCCESS_REPORT.md | COMPLETE_VALIDATION_REPORT.md | PHASE_8_SUMMARY.md
es-9.2.4-plugins-scale,2198,1334,3532,2026-02-07 11:47:44,/home/denny/projects/es-9.2.4-plugins-scale/plugins/lance-vector/docs/分片感知数据集映射指南.md,DEBUG_TIMING_SUMMARY.md | VALIDATION_FINAL_SUMMARY.md | future_plan.md | COMPLETE_VALIDATION_REPORT.md | future_plan_refined_zh.md | OSS_STRESS_TEST_REPORT.md | PHASE_8_FINAL_REPORT.md | VALIDATION_SUMMARY.md
