project,recent_total,recent_md,recent_json,newest_time,top_docs
kibana-9.2.4,8872,2004,6868,2026-02-13 23:00:47,docs/plans/2026-02-13-aliyun-auth-abstraction-refactor.md | docs/MANUAL_OAUTH_VALIDATION.md | docs/OAUTH_VALIDATION_STATUS.md | docs/OAUTH_E2E_VALIDATION_STATUS.md | docs/VALIDATION-GUIDE.md
kibana,8060,2119,5941,2026-01-28 16:23:49,x-pack/platform/plugins/shared/dashboard_agent/README.md | x-pack/platform/plugins/shared/ai_infra/product_doc_base/README.md | x-pack/platform/plugins/shared/agent_builder_platform/README.md | x-pack/platform/plugins/shared/agent_builder/README.md | x-pack/platform/packages/shared/kbn-inference-prompt-utils/README.md
kibana-iam,8043,2101,5942,2026-01-26 07:54:43,x-pack/platform/plugins/shared/dashboard_agent/README.md | x-pack/platform/plugins/shared/agent_builder_platform/README.md | x-pack/platform/plugins/shared/ai_infra/product_doc_base/README.md | x-pack/platform/plugins/shared/agent_builder/README.md | x-pack/platform/packages/shared/kbn-inference-prompt-utils/README.md
es-lance-claude-glm,3717,2352,1365,2026-01-26 10:53:52,docs/reference/search-connectors/es-connectors-sharepoint.md | docs/reference/search-connectors/es-connectors-sharepoint-online.md | docs/reference/query-languages/esql/kibana/docs/functions/v_dot_product.md | docs/reference/query-languages/esql/kibana/definition/functions/v_dot_product.json | docs/reference/query-languages/esql/_snippets/functions/types/v_dot_product.md
elasticsearch,3714,2341,1373,2026-01-23 21:47:38,docs/ram-e2e-validation.md | docs/reference/search-connectors/es-connectors-sharepoint.md | docs/reference/search-connectors/es-connectors-sharepoint-online.md | docs/reference/query-languages/esql/kibana/docs/functions/v_dot_product.md | docs/reference/query-languages/esql/kibana/definition/functions/v_dot_product.json
es-lance-claude,3712,2347,1365,2026-01-21 13:44:10,docs/reference/search-connectors/es-connectors-sharepoint.md | docs/reference/search-connectors/es-connectors-sharepoint-online.md | docs/reference/query-languages/esql/kibana/docs/functions/v_dot_product.md | docs/reference/query-languages/esql/kibana/definition/functions/v_dot_product.json | docs/reference/query-languages/esql/_snippets/functions/types/v_dot_product.md
es-9.2.4-plugins-rt-scale,3551,2217,1334,2026-02-10 14:18:01,docs/plans/2026-02-10-opus-review-fixes-plan.md | docs/tech-share-lance-cloud-iam-ldap-PR6.md | docs/plans/2026-02-08-lance-review-fixes.md | PRODUCTION-VALIDATION-REPORT.md | docs/reference/search-connectors/es-connectors-sharepoint.md
es-9.2.4-plugins-real-time,3538,2204,1334,2026-02-07 11:44:43,docs/plans/2026-02-06-lance-p1-p2-query-nrt.md | docs/reference/search-connectors/es-connectors-sharepoint.md | docs/reference/search-connectors/es-connectors-sharepoint-online.md | docs/reference/query-languages/esql/kibana/docs/functions/v_dot_product.md | docs/reference/query-languages/esql/kibana/definition/functions/v_dot_product.json
es-9.2.4-plugins,3536,2201,1335,2026-02-06 11:16:14,docs/reference/search-connectors/es-connectors-sharepoint.md | docs/reference/search-connectors/es-connectors-sharepoint-online.md | docs/reference/query-languages/esql/kibana/docs/functions/v_dot_product.md | docs/reference/query-languages/esql/kibana/definition/functions/v_dot_product.json | docs/reference/query-languages/esql/_snippets/functions/types/v_dot_product.md
es-9.2.4-plugins-scale,3532,2198,1334,2026-02-07 11:47:44,docs/plans/2026-02-06-p3-shard-consistency-design.md | docs/reference/search-connectors/es-connectors-sharepoint.md | docs/reference/search-connectors/es-connectors-sharepoint-online.md | docs/reference/query-languages/esql/kibana/docs/functions/v_dot_product.md | docs/reference/query-languages/esql/kibana/definition/functions/v_dot_product.json
es-8.17-plugins,1412,179,1233,2026-01-26 17:15:22,docs/reference/esql/functions/README.md | COMPREHENSIVE_VALIDATION_REPORT.md | FINAL_VALIDATION_REPORT.md | libs/entitlement/agent/README.md | docs/src/yamlRestTest/resources/normalized-T1117-AtomicRed-regsvr32.json
_bmad,716,714,2,2026-02-06 15:50:35,tea/workflows/testarch/trace/validation-report-20260127-095021.md | tea/workflows/testarch/trace/validation-report-20260127-102401.md | tea/workflows/testarch/test-review/validation-report-20260127-095021.md | tea/workflows/testarch/test-review/validation-report-20260127-102401.md | tea/workflows/testarch/test-design/validation-report-20260127-095021.md
openclaw,511,432,79,2026-02-05 22:08:48,docs/tools/agent-send.md | docs/tools/subagents.md | docs/reference/AGENTS.default.md | docs/reference/templates/AGENTS.md | docs/reference/templates/AGENTS.dev.md
elasticsearch-java,112,96,16,2026-01-22 18:06:40,docs/design/Readme.md | docs/reference/usage/indexing-bulk.md | docs/reference/usage/reading.md | docs/reference/usage/aggregations.md | docs/reference/usage/searching.md
denny-all-in-one,96,83,13,2026-02-21 22:33:29,docs/plans/2026-02-21-backup-restore-implementation.md | docs/plans/2026-02-21-backup-restore-design.md | dot_agents/skills/planning-with-files/reference.md | dot_agents/skills/planning-with-files/examples.md | dot_agents/skills/planning-with-files/SKILL.md
search_benchmark_harness,83,33,50,2026-02-23 09:35:49,docs/plans/2026-02-12-benchmark-harness-plan.md | docs/plans/2026-02-12-benchmark-harness-design.md | docs/BENCHMARKS.md | docs/plans/2026-02-14-semantic-matching-implementation.md | docs/plans/2026-02-14-semantic-matching-evaluation.md
pai_mem0_finetune_lab,81,46,35,2026-02-23 13:01:40,docs/plans/2026-02-10-milestone-doc-unification.md | docs/plans/2026-02-12-eval-framework-implementation-plan.md | docs/plans/2026-02-12-memory-eval-framework-prd.md | docs/plans/2026-02-13-memory-eval-framework-design.md | reports/projects/proj_plan.md
es-pdsa,50,29,21,2026-02-25 12:12:41,docs/agents/LESSONS_LEARNED.md | openclaw-workspace/radar/reports/es-industry-radar-latest.json | openclaw-workspace/radar/reports/es-industry-radar-latest.md | openclaw-workspace/radar/reports/es-industry-radar-20260225-041134.md | openclaw-workspace/radar/reports/es-industry-radar-20260225-041134.json
es-lance-demo,35,25,10,2026-02-15 14:05:31,.worktrees/demo-ui-nt-scale-plan/reg_validation_guide.md | .worktrees/demo-ui-nt-scale-plan/README.md | .worktrees/demo-ui-nt-scale-plan/docs/branding-saling-strategies.md | .worktrees/demo-ui-nt-scale-plan/docs/plans/2026-02-14-branding-home-coreflow-i18n-plan.md | .worktrees/demo-ui-nt-scale-plan/docs/plans/2026-02-13-ui-theme-switch-design.md
ldap-demo,22,21,1,2026-02-10 13:59:49,docs/plans/2026-02-06-idaas-sso-implementation.md | docs/机制说明.md | docs/用户指南.md | docs/IDAAS_SAML_RoleSSO_设置指南.md | docs/2026-02-07-SAML_架构说明.md
es-lance-iam-demo,21,20,1,2026-02-15 14:05:14,.worktree/es-lance-rt-scale-iam-demo/reg_validation_guide.md | .worktree/es-lance-rt-scale-iam-demo/task_plan.md | .worktree/es-lance-rt-scale-iam-demo/AGENT.md | .worktree/es-lance-rt-scale-iam-demo/AGENTS.md | .worktree/es-lance-rt-scale-iam-demo/100kdocs_plan.md
es-lance-in-oss-demo,21,12,9,2026-01-31 16:54:03,reg_validation_guide.md | scripts/ralph/prompt.md | scripts/ralph/README.md | scripts/ralph/flowchart/README.md | scripts/ralph/AGENTS.md
winter-note,21,11,10,2026-02-25 12:48:12,docs/agents/LESSONS_LEARNED.md | docs/plans/2026-02-24-cross-device-note-agent-design.md | docs/agents/reg_validation_guide.md | denny-agents/memory/shared/memory.store.json | denny-agents/data/shared/notes.index.json
es-aiops,15,9,6,2026-02-23 09:06:42,docs/plans/2026-02-22-es-aiops-bff-benchmark-implementation.md | docs/plans/2026-02-21-es-aiops-agent-implementation.md | docs/appendix-detailed.md | docs/goal-card.md | .runtime/real-regression/es-logs/es-aiops-regression_server.json
oauth-for-playwright,14,12,2,2026-02-23 12:50:40,docs/validation.md | docs/DESIGN.md | docs/ARCHITECTURE.md | bot_review_snapshot/plan.md | bot_review_snapshot/README.md
ralph,12,7,5,2026-01-23 14:29:49,AGENTS.md | README.md | prompt.md | flowchart/README.md | skills/prd/SKILL.md
vlm-vla,8,6,2,2026-02-24 22:15:37,docs/plans/2025-02-22-vla-implementation-plan.md | docs/plans/2025-02-22-vla-training-design.md | docs/kaggle-workflow.md | results/eval_report.md | README.md
ldap-demo-val,3,3,0,2026-02-06 21:51:09,docs/ALIYUN_IDAAS_GUIDE.md | idaas-ldap-connector/README.md | README.md
tests-beads-superpower,3,3,0,2026-02-02 15:06:08,natively_enhanced_es_autodrive_strategy_1_2y_zh.md | future_plan_refined_zh.md | beads-superpower-combine.md
